   0.0000000e+00   1.0000000e+00   1.0000000e+00   1.0000000e+00   1.0000000e+00   1.0000000e+00
   5.0000000e-05   8.9429258e-01   9.6265830e-01   9.7420166e-01   9.8825556e-01   9.9000000e-01
   1.0000000e-04   7.9133081e-01   9.2540190e-01   9.4843083e-01   9.7651285e-01   9.8000000e-01
   1.5000000e-04   6.9340396e-01   8.8831547e-01   9.2271493e-01   9.6477359e-01   9.7000000e-01
   2.0000000e-04   6.0218418e-01   8.5148248e-01   8.9708119e-01   9.5303950e-01   9.6000000e-01
   2.5000000e-04   5.1872616e-01   8.1498452e-01   8.7155661e-01   9.4131230e-01   9.5000000e-01
   3.0000000e-04   4.4354477e-01   7.7890083e-01   8.4616777e-01   9.2959369e-01   9.4000000e-01
   3.5000000e-04   3.7672257e-01   7.4330769e-01   8.2094086e-01   9.1788537e-01   9.3000000e-01
   4.0000000e-04   3.1802007e-01   7.0827791e-01   7.9590153e-01   9.0618903e-01   9.2000000e-01
   4.5000000e-04   2.6697549e-01   6.7388041e-01   7.7107481e-01   8.9450636e-01   9.1000000e-01
   5.0000000e-04   2.2298796e-01   6.4017979e-01   7.4648507e-01   8.8283901e-01   9.0000000e-01
   5.5000000e-04   1.8538329e-01   6.0723595e-01   7.2215592e-01   8.7118864e-01   8.9000000e-01
   6.0000000e-04   1.5346325e-01   5.7510379e-01   6.9811012e-01   8.5955687e-01   8.8000000e-01
   6.5000000e-04   1.2654071e-01   5.4383298e-01   6.7436959e-01   8.4794532e-01   8.7000000e-01
   7.0000000e-04   1.0396327e-01   5.1346774e-01   6.5095527e-01   8.3635558e-01   8.6000000e-01
   7.5000000e-04   8.5127780e-02   4.8404673e-01   6.2788709e-01   8.2478923e-01   8.5000000e-01
   8.0000000e-04   6.9488059e-02   4.5560296e-01   6.0518397e-01   8.1324781e-01   8.4000000e-01
   8.5000000e-04   5.6557705e-02   4.2816378e-01   5.8286369e-01   8.0173284e-01   8.3000000e-01
   9.0000000e-04   4.5909443e-02   4.0175094e-01   5.6094292e-01   7.9024583e-01   8.2000000e-01
   9.5000000e-04   3.7172232e-02   3.7638062e-01   5.3943716e-01   7.7878825e-01   8.1000000e-01
   1.0000000e-03   3.0027013e-02   3.5206365e-01   5.1836072e-01   7.6736152e-01   8.0000000e-01
   1.0500000e-03   2.4201741e-02   3.2880563e-01   4.9772668e-01   7.5596707e-01   7.9000000e-01
   1.1000000e-03   1.9466168e-02   3.0660718e-01   4.7754690e-01   7.4460626e-01   7.8000000e-01
   1.1500000e-03   1.5626696e-02   2.8546420e-01   4.5783202e-01   7.3328045e-01   7.7000000e-01
   1.2000000e-03   1.2521476e-02   2.6536814e-01   4.3859140e-01   7.2199094e-01   7.6000000e-01
   1.2500000e-03   1.0015911e-02   2.4630632e-01   4.1983319e-01   7.1073901e-01   7.5000000e-01
   1.3000000e-03   7.9985865e-03   2.2826226e-01   4.0156428e-01   6.9952588e-01   7.4000000e-01
   1.3500000e-03   6.3776682e-03   2.1121602e-01   3.8379035e-01   6.8835277e-01   7.3000000e-01
   1.4000000e-03   5.0777534e-03   1.9514457e-01   3.6651588e-01   6.7722082e-01   7.2000000e-01
   1.4500000e-03   4.0371492e-03   1.8002213e-01   3.4974415e-01   6.6613115e-01   7.1000000e-01
   1.5000000e-03   3.2055432e-03   1.6582051e-01   3.3347730e-01   6.5508484e-01   7.0000000e-01
   1.5500000e-03   2.5420265e-03   1.5250950e-01   3.1771631e-01   6.4408291e-01   6.9000000e-01
   1.6000000e-03   2.0134281e-03   1.4005721e-01   3.0246112e-01   6.3312636e-01   6.8000000e-01
   1.6500000e-03   1.5929202e-03   1.2843036e-01   2.8771055e-01   6.2221613e-01   6.7000000e-01
   1.7000000e-03   1.2588568e-03   1.1759464e-01   2.7346246e-01   6.1135311e-01   6.6000000e-01
   1.7500000e-03   9.9381196e-04   1.0751501e-01   2.5971370e-01   6.0053815e-01   6.5000000e-01
   1.8000000e-03   7.8378585e-04   9.8155957e-02   2.4646022e-01   5.8977206e-01   6.4000000e-01
   1.8500000e-03   6.1755330e-04   8.9481788e-02   2.3369707e-01   5.7905559e-01   6.3000000e-01
   1.9000000e-03   4.8613027e-04   8.1456851e-02   2.2141850e-01   5.6838945e-01   6.2000000e-01
   1.9500000e-03   3.8233882e-04   7.4045765e-02   2.0961796e-01   5.5777428e-01   6.1000000e-01
   2.0000000e-03   3.0045329e-04   6.7213615e-02   1.9828820e-01   5.4721069e-01   6.0000000e-01
   2.0500000e-03   2.3591352e-04   6.0926129e-02   1.8742127e-01   5.3669923e-01   5.9000000e-01
   2.1000000e-03   1.8509283e-04   5.5149832e-02   1.7700863e-01   5.2624042e-01   5.8000000e-01
   2.1500000e-03   1.4511093e-04   4.9852179e-02   1.6704117e-01   5.1583468e-01   5.7000000e-01
   2.2000000e-03   1.1368327e-04   4.5001662e-02   1.5750929e-01   5.0548244e-01   5.6000000e-01
   2.2500000e-03   8.9000071e-05   4.0567910e-02   1.4840290e-01   4.9518401e-01   5.5000000e-01
   2.3000000e-03   6.9629360e-05   3.6521753e-02   1.3971155e-01   4.8493971e-01   5.4000000e-01
   2.3500000e-03   5.4439357e-05   3.2835286e-02   1.3142441e-01   4.7474975e-01   5.3000000e-01
   2.4000000e-03   4.2536512e-05   2.9481905e-02   1.2353037e-01   4.6461434e-01   5.2000000e-01
   2.4500000e-03   3.3216077e-05   2.6436332e-02   1.1601806e-01   4.5453359e-01   5.1000000e-01
