   0.0000000e+00   1.0000000e+00
   1.1314272e-06   1.0011281e+00
   2.2628543e-06   1.0022549e+00
   3.3942815e-06   1.0033805e+00
   1.0944909e-05   1.0108611e+00
   1.8495537e-05   1.0182861e+00
   2.6046166e-05   1.0256554e+00
   3.3596794e-05   1.0329692e+00
   9.4775106e-05   1.0902609e+00
   1.5595342e-04   1.1441518e+00
   2.1713173e-04   1.1948340e+00
   2.7831004e-04   1.2424978e+00
   5.5025695e-04   1.4219933e+00
   8.2220385e-04   1.5584277e+00
   1.0941508e-03   1.6623351e+00
   1.3660977e-03   1.7415179e+00
   1.6380446e-03   1.8017974e+00
   1.9605381e-03   1.8547317e+00
   2.2830316e-03   1.8929170e+00
   2.6055252e-03   1.9204528e+00
   2.9280187e-03   1.9402605e+00
   3.2505122e-03   1.9544480e+00
   3.7495249e-03   1.9686019e+00
   4.2485375e-03   1.9768362e+00
   4.7475502e-03   1.9815502e+00
   5.2465628e-03   1.9840854e+00
   5.7455755e-03   1.9852458e+00
   6.6091480e-03   1.9853270e+00
   7.4727204e-03   1.9843906e+00
   8.3362929e-03   1.9830886e+00
   9.1998654e-03   1.9815903e+00
   1.0063438e-02   1.9799636e+00
   1.3009654e-02   1.9742229e+00
   1.5955871e-02   1.9683654e+00
   1.8902087e-02   1.9625584e+00
   2.1848303e-02   1.9567894e+00
   4.5350185e-02   1.9116885e+00
   6.8852068e-02   1.8675879e+00
   9.2353950e-02   1.8244980e+00
   1.9235395e-01   1.6511250e+00
   2.9235395e-01   1.4938897e+00
   3.9235395e-01   1.3515864e+00
   4.9235395e-01   1.2227955e+00
   5.9235395e-01   1.1063436e+00
   6.9235395e-01   1.0010523e+00
   7.9235395e-01   9.0580573e-01
   8.9235395e-01   8.1961459e-01
   1.0000000e+00   7.3597459e-01
